Nro_Expediente,Fuero,Juzgado_Radicacion,Tipo_Proceso,Fecha_Inicio,Estado_Causa,Dias_Activo
19461/25,Familia,1° Juzgado de Familia,Hurto,2024-07-20,Archivado,387
46838/24,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2023-12-26,Archivado,187
73587/26,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-03-05,Resuelto,102
53874/23,Familia,1° Juzgado de Familia,Sucesorio,2025-08-18,Suspendido,392
47531/25,Laboral,3° Juzgado Laboral,Amparo,2024-07-21,Suspendido,784
72515/25,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2024-09-30,Suspendido,714
31148/26,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2026-04-04,Suspendido,163
56327/24,Penal (Colegio de Jueces),Sala III,Sucesorio,2025-03-31,Archivado,76
27269/23,Penal (Colegio de Jueces),Sala I,Despido,2025-01-01,Archivado,326
51998/24,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2025-09-11,Para Sentencia,368
2125/25,Laboral,3° Juzgado Laboral,Sucesorio,2024-02-18,Resuelto,118
70103/24,Penal (Colegio de Jueces),Sala II,Amparo,2026-03-26,Suspendido,171
58498/26,Laboral,1° Juzgado Laboral,Homicidio,2026-04-11,Resuelto,343
61617/23,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2025-07-09,Suspendido,432
14547/26,Familia,2° Juzgado de Familia,Despido,2026-03-16,En Trámite,182
87357/23,Familia,1° Juzgado de Familia,Despido,2024-11-07,En Trámite,676
90560/24,Familia,2° Juzgado de Familia,Hurto,2025-07-31,Archivado,181
29378/23,Laboral,2° Juzgado Laboral,Despido,2025-01-23,Archivado,115
6915/25,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-04-02,Resuelto,336
52589/24,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2023-09-20,Resuelto,32
8610/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2024-11-03,Resuelto,227
69547/24,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2023-11-17,Archivado,114
12977/26,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2025-04-06,Suspendido,526
73730/26,Familia,1° Juzgado de Familia,Amparo,2026-04-20,En Trámite,147
72104/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2025-03-01,Archivado,273
25570/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-04-17,Suspendido,150
26794/26,Laboral,3° Juzgado Laboral,Despido,2023-09-20,En Trámite,1090
35738/26,Familia,2° Juzgado de Familia,Divorcio,2024-05-04,Para Sentencia,863
80824/24,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2025-07-16,Archivado,316
6865/25,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2024-12-30,Resuelto,349
4444/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-07-14,En Trámite,427
20068/24,Laboral,3° Juzgado Laboral,Homicidio,2025-08-12,Resuelto,377
8216/23,Familia,1° Juzgado de Familia,Despido,2024-09-11,En Trámite,733
9710/25,Penal (Colegio de Jueces),Sala III,Amparo,2025-07-18,Archivado,355
84460/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2023-11-30,Suspendido,1019
25634/25,"Civil, Comercial y Minería",3° Juzgado Civil,Homicidio,2025-07-01,Resuelto,194
48172/26,Laboral,2° Juzgado Laboral,Homicidio,2024-10-05,Resuelto,43
80040/23,Penal (Colegio de Jueces),Sala III,Hurto,2026-07-06,En Trámite,69
43629/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2024-10-29,En Trámite,685
50580/24,Familia,1° Juzgado de Familia,Amparo,2025-10-23,Archivado,159
41258/26,Penal (Colegio de Jueces),Sala I,Homicidio,2025-06-27,Archivado,57
42655/25,Familia,1° Juzgado de Familia,Sucesorio,2024-03-08,Para Sentencia,919
2815/25,Familia,2° Juzgado de Familia,Sucesorio,2023-09-22,Suspendido,1087
35414/25,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2023-09-30,Suspendido,1080
37957/26,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2026-01-29,Archivado,358
65398/24,Penal (Colegio de Jueces),Sala III,Divorcio,2026-06-09,Archivado,97
41505/23,Familia,1° Juzgado de Familia,Divorcio,2024-02-14,Archivado,82
64466/26,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2026-08-13,Archivado,51
75088/23,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2025-04-07,En Trámite,525
40073/23,Laboral,1° Juzgado Laboral,Amparo,2025-08-13,En Trámite,397
89421/24,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2024-10-27,Resuelto,207
39365/25,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2026-03-18,En Trámite,180
10390/24,Familia,1° Juzgado de Familia,Hurto,2024-10-12,Suspendido,701
90648/24,Penal (Colegio de Jueces),Sala II,Divorcio,2026-08-20,En Trámite,25
94023/25,Laboral,1° Juzgado Laboral,Despido,2025-05-24,Resuelto,145
68025/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2025-07-15,Resuelto,148
46057/26,Familia,2° Juzgado de Familia,Divorcio,2024-02-16,Para Sentencia,941
30324/24,Penal (Colegio de Jueces),Sala III,Divorcio,2026-04-21,Resuelto,392
70560/24,Laboral,1° Juzgado Laboral,Despido,2026-02-10,Suspendido,216
89472/23,Familia,2° Juzgado de Familia,Daños y Perjuicios,2025-06-29,Para Sentencia,442
82990/23,Laboral,1° Juzgado Laboral,Sucesorio,2025-03-05,En Trámite,558
30895/25,Penal (Colegio de Jueces),Sala III,Homicidio,2025-07-10,Archivado,385
14187/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-12-07,Para Sentencia,281
84735/25,Laboral,3° Juzgado Laboral,Hurto,2025-10-10,Suspendido,339
55036/24,Familia,1° Juzgado de Familia,Despido,2023-11-28,Archivado,94
63357/24,Familia,2° Juzgado de Familia,Despido,2024-01-26,En Trámite,961
36768/23,Laboral,3° Juzgado Laboral,Amparo,2026-03-08,Suspendido,190
66722/25,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2026-03-22,Suspendido,176
64585/26,Familia,2° Juzgado de Familia,Amparo,2024-02-03,Resuelto,330
81429/25,"Civil, Comercial y Minería",1° Juzgado Civil,Divorcio,2025-11-30,Suspendido,288
62394/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2024-04-04,Suspendido,893
75759/23,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2024-03-07,Para Sentencia,921
45832/23,Penal (Colegio de Jueces),Sala III,Despido,2026-08-25,En Trámite,20
58147/26,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2024-01-20,Suspendido,968
3604/24,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-07-19,Para Sentencia,56
72366/23,Laboral,2° Juzgado Laboral,Divorcio,2025-12-06,Para Sentencia,282
97336/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2023-12-11,Resuelto,386
17779/24,Penal (Colegio de Jueces),Sala I,Sucesorio,2024-04-13,En Trámite,884
31879/26,Familia,1° Juzgado de Familia,Despido,2026-03-12,Archivado,174
89065/24,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2026-09-04,Resuelto,329
55301/26,Familia,2° Juzgado de Familia,Hurto,2024-02-22,Archivado,169
83318/23,Penal (Colegio de Jueces),Sala I,Despido,2023-12-31,Suspendido,988
85875/25,Familia,1° Juzgado de Familia,Divorcio,2026-05-04,Para Sentencia,133
77510/25,Familia,2° Juzgado de Familia,Hurto,2024-07-12,Resuelto,107
36282/25,Penal (Colegio de Jueces),Sala I,Homicidio,2024-10-25,Archivado,342
73602/23,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2025-06-12,Para Sentencia,459
3325/24,Penal (Colegio de Jueces),Sala III,Amparo,2025-07-22,Archivado,310
36301/24,Penal (Colegio de Jueces),Sala I,Homicidio,2023-10-31,Suspendido,1049
44919/26,Penal (Colegio de Jueces),Sala III,Despido,2024-01-03,Resuelto,227
88265/25,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2024-09-29,En Trámite,715
66228/25,Penal (Colegio de Jueces),Sala I,Homicidio,2024-11-22,Para Sentencia,661
26682/24,Penal (Colegio de Jueces),Sala III,Amparo,2025-05-09,Archivado,106
14023/24,Laboral,2° Juzgado Laboral,Sucesorio,2025-03-31,Resuelto,289
92706/23,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2023-10-22,Archivado,46
53438/23,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2025-05-12,Archivado,56
73023/25,Familia,1° Juzgado de Familia,Divorcio,2025-12-03,Para Sentencia,285
20945/23,Laboral,1° Juzgado Laboral,Homicidio,2024-04-01,Resuelto,99
18338/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2026-04-30,En Trámite,137
1962/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2023-10-28,Suspendido,1052
62419/23,Laboral,2° Juzgado Laboral,Despido,2024-06-22,Para Sentencia,814
97610/24,Penal (Colegio de Jueces),Sala II,Hurto,2023-11-18,Suspendido,1031
14981/25,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2023-09-22,Para Sentencia,1088
53673/26,Familia,2° Juzgado de Familia,Despido,2024-03-22,Resuelto,344
91963/23,Familia,1° Juzgado de Familia,Hurto,2026-05-03,En Trámite,134
